Title,Description,Manual,Price,test_str,bart_classification,mDeBERTa_classification,DeBERTa-v3-base-mnli-fever-anli,deberta-v3-base-zeroshot-v1.1-all-33,mDeBERTa-v3-base-mnli-xnli
HTAPOTHI SCHARAS,"classic grilled, marinated octopus with a balsamic reduction sauce and capers",Not Vegetarian,,"HTAPOTHI SCHARAS : classic grilled, marinated octopus with a balsamic reduction sauce and capers",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
GREEK YIAYIA’S FRIED POTATOES,wedges of handcut fried potatoes served with grated greek sheep’s milk cheese and oregano,Vegetarian,8,GREEK YIAYIA’S FRIED POTATOES : wedges of handcut fried potatoes served with grated greek sheep’s milk cheese and oregano,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
SPANAKORIZO,classic spinach-rice lemon pilaf served with crumbled feta,Vegetarian,,SPANAKORIZO : classic spinach-rice lemon pilaf served with crumbled feta,not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
PASTITSIO,PYLOS’ terrine of baked pasta layered with aromatic meat sauce and béchamel,Not Vegetarian,20,PASTITSIO : PYLOS’ terrine of baked pasta layered with aromatic meat sauce and béchamel,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
MOUSSAKA,"layers of lightly sautéed eggplant, zucchini and potato baked in a clay dish with aromatic ground meat sauce and béchamel",Not Vegetarian,,"MOUSSAKA : layers of lightly sautéed eggplant, zucchini and potato baked in a clay dish with aromatic ground meat sauce and béchamel",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
DIPS,"comes with pita; LABNEH za’atar; MUHAMMARA roasted red pepper, walnut; MATBUCHA tomato confit, smoked paprika",Vegetarian,11 (each) / 29 (all three),"DIPS : comes with pita; LABNEH za’atar; MUHAMMARA roasted red pepper, walnut; MATBUCHA tomato confit, smoked paprika",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
FENNEL & PEAR,"celery, pecorino, breadcrumbs",Vegetarian,22,"FENNEL & PEAR : celery, pecorino, breadcrumbs",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
ENDIVE,"radicchio, apples, pecan, gorgonzola",Vegetarian,24,"ENDIVE : radicchio, apples, pecan, gorgonzola",vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
SCALLOP CRUDO,"brown butter, gooseberries, meyer lemon",Vegetarian,26,"SCALLOP CRUDO : brown butter, gooseberries, meyer lemon",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
MUSHROOM BUREKA,black truffle butter (add bureka +6),Not Vegetarian,24,MUSHROOM BUREKA : black truffle butter (add bureka +6),not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
PARSNIP RISOTTO,"parmesan, fried sage",Vegetarian,28,"PARSNIP RISOTTO : parmesan, fried sage",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
LAMB KEBAB,"malawach, sumac onion, zhoug, tahini (add skewer +15)",Not Vegetarian,33,"LAMB KEBAB : malawach, sumac onion, zhoug, tahini (add skewer +15)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
HARISSA CHICKEN,"tzatziki, castelvetrano olives, pine nuts",Not Vegetarian,36,"HARISSA CHICKEN : tzatziki, castelvetrano olives, pine nuts",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
DUCK CONFIT HARRIRA,"spaghetti squash, chickpeas, cilantro",Not Vegetarian,32,"DUCK CONFIT HARRIRA : spaghetti squash, chickpeas, cilantro",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
WHOLE BRANZINO,"braised leeks, seaweed butter",Not Vegetarian,46,"WHOLE BRANZINO : braised leeks, seaweed butter",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
misticanza,"castelfranco, rossa del veneto, escarole, capers, focaccia croutons, pecorino",Vegetarian,22,"misticanza : castelfranco, rossa del veneto, escarole, capers, focaccia croutons, pecorino",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
roasted honeynut squash,"taleggio, hazelnuts, brown butter, cantucci, spigarello",Vegetarian,23,"roasted honeynut squash : taleggio, hazelnuts, brown butter, cantucci, spigarello",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
suppli,"white truffle, bufala mozzarella, porcini",Vegetarian,26,"suppli : white truffle, bufala mozzarella, porcini",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
midollo,"roasted bone marrow, beef tartare, celery root",Not Vegetarian,25,"midollo : roasted bone marrow, beef tartare, celery root",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
cappelletti,"roasted chestnut, parmigiano, radicchio, brown butter",Vegetarian,35,"cappelletti : roasted chestnut, parmigiano, radicchio, brown butter",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
busiate,"roasted garlic, parsley, pepperoncino, lemon",Vegetarian,28,"busiate : roasted garlic, parsley, pepperoncino, lemon",vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
agnolotti,"short rib, duck jus, chive",Not Vegetarian,38,"agnolotti : short rib, duck jus, chive",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
lasagna,"rabbit & veal ragu, chervil, almonds, bufala mozzarella",Not Vegetarian,28,"lasagna : rabbit & veal ragu, chervil, almonds, bufala mozzarella",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Roman Classics,"cacio e pepe, alla gricia, alla carbonara, all'amatriciana",Not Vegetarian,,"Roman Classics : cacio e pepe, alla gricia, alla carbonara, all'amatriciana",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
lamb porterhouse,"creamy polenta, tardivo salad, mirto",Not Vegetarian,46,"lamb porterhouse : creamy polenta, tardivo salad, mirto",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
rainbow trout,"summer potatoes, lemon curd, Calabrian chili",Not Vegetarian,48,"rainbow trout : summer potatoes, lemon curd, Calabrian chili",not vegetarian,vegetarian,not vegetarian,not vegetarian,vegetarian
maritozzo,"sweet yeasted brioche, Chantilly creme, citrus",Vegetarian,12,"maritozzo : sweet yeasted brioche, Chantilly creme, citrus",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
gelati & sorbetti,one scoop (flavors change daily),Vegetarian,6,gelati & sorbetti : one scoop (flavors change daily),not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Broccolini,garlic & almonds,Vegetarian,14,Broccolini : garlic & almonds,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Roast kohlrabi,sugar snap peas & yogurt,Vegetarian,16,Roast kohlrabi : sugar snap peas & yogurt,not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
Crispy yams,persian lime aioli,Vegetarian,16,Crispy yams : persian lime aioli,not vegetarian,vegetarian,not vegetarian,not vegetarian,vegetarian
Beets,"pistachio, feta cheese",Vegetarian,17,"Beets : pistachio, feta cheese",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
Market Salad,"fennel, radish & chickpea",Vegetarian,17,"Market Salad : fennel, radish & chickpea",not vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
Heirloom cauliflower,herb tahini & pomegranate,Vegetarian,29,Heirloom cauliflower : herb tahini & pomegranate,not vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
Crispy quail,"tahini yogurt, pickled egg",Not Vegetarian,37,"Crispy quail : tahini yogurt, pickled egg",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Seared tuna,"sheep yogurt, tomato & chili",Not Vegetarian,37,"Seared tuna : sheep yogurt, tomato & chili",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Dorade,grilled & butterflied,Not Vegetarian,42,Dorade : grilled & butterflied,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Half chicken,breadcrumbs,Not Vegetarian,34,Half chicken : breadcrumbs,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Smoked lamb shawarma,labne & herbs,Not Vegetarian,38,Smoked lamb shawarma : labne & herbs,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
TORO SSAM BAP,"Fatty Tuna, Scrambled Egg, Tobiko, Shallots, Jalapeño, Toasted Seaweed, Golden Osetra Caviar",Not Vegetarian,55,"TORO SSAM BAP : Fatty Tuna, Scrambled Egg, Tobiko, Shallots, Jalapeño, Toasted Seaweed, Golden Osetra Caviar",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
TRUFFLE SCALLOP,"Scallop Hwe, Truffle Soy, Pickled Radish, Truffle Aioli, Shimeji Mushrooms, Burgundy Truffle",Not Vegetarian,39,"TRUFFLE SCALLOP : Scallop Hwe, Truffle Soy, Pickled Radish, Truffle Aioli, Shimeji Mushrooms, Burgundy Truffle",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
CEVICHE,"Assorted Fish, White Radish Dressing, Avocado, Lime, Red Onion, Jalapeño",Not Vegetarian,23,"CEVICHE : Assorted Fish, White Radish Dressing, Avocado, Lime, Red Onion, Jalapeño",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
AMBERJACK & ONION,"Amberjack Hwe, Cucumber, Radish, Serrano, Pearl Onion, Soy Bean Dressing",Not Vegetarian,27,"AMBERJACK & ONION : Amberjack Hwe, Cucumber, Radish, Serrano, Pearl Onion, Soy Bean Dressing",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
FLUKE HWE,"Wild Fluke, Red Onion, Cucumber, Myoga, Olive Oil “Dongchimi” Emulsion, Plum Cho Gochujang",Not Vegetarian,25,"FLUKE HWE : Wild Fluke, Red Onion, Cucumber, Myoga, Olive Oil “Dongchimi” Emulsion, Plum Cho Gochujang",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
CLAM & SEABREAM,"Manilla Clams, Sea Bream, Serrano Pepper, Olive Oil, Dill",Not Vegetarian,26,"CLAM & SEABREAM : Manilla Clams, Sea Bream, Serrano Pepper, Olive Oil, Dill",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
JEJU FRIED CHIKIN,"2pc Chicken, Onion Powder, Yogurt Dip, Caviar",Not Vegetarian,31,"JEJU FRIED CHIKIN : 2pc Chicken, Onion Powder, Yogurt Dip, Caviar",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
JA JANG STYLE RIBS,"Half Rack St. Louis Style Pork Ribs, Maple - Black Bean Glaze, Banchan",Not Vegetarian,33,"JA JANG STYLE RIBS : Half Rack St. Louis Style Pork Ribs, Maple - Black Bean Glaze, Banchan",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
GOCHUJANG BOKUM,"Beef Ragu, Iceberg Lettuce, Pickled Mustard, Palae Seaweed, Potato Crisps",Not Vegetarian,13,"GOCHUJANG BOKUM : Beef Ragu, Iceberg Lettuce, Pickled Mustard, Palae Seaweed, Potato Crisps",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
WAGYU RAMYUN,"A Rich Veal Bone Broth, Raw Miyazaki A5 Wagyu Brisket, Kikurage, Enoki, Scallion Oil, Sesame, Chili Beef Ragu",Not Vegetarian,45,"WAGYU RAMYUN : A Rich Veal Bone Broth, Raw Miyazaki A5 Wagyu Brisket, Kikurage, Enoki, Scallion Oil, Sesame, Chili Beef Ragu",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
GOCHU RAMYUN,"A Rich Spicy Pork Bone Broth, Pork Belly, White Kimchi, Sauce “Ko”mericaine, Charred Scallion Oil",Not Vegetarian,23,"GOCHU RAMYUN : A Rich Spicy Pork Bone Broth, Pork Belly, White Kimchi, Sauce “Ko”mericaine, Charred Scallion Oil",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
FAMILY RAMYUN,"A Rich Pork Bone Broth, Scallion, Porchetta, Shrimp, Pickled Jalapeño, Wood Ear Mushroom, Calabrian Chili",Not Vegetarian,23,"FAMILY RAMYUN : A Rich Pork Bone Broth, Scallion, Porchetta, Shrimp, Pickled Jalapeño, Wood Ear Mushroom, Calabrian Chili",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
MUSHROOM RAMYUN,"Seasonal Mushrooms, Parmesan Foam, Lime, Chervil, Garlic Chips, Pickled Garlic",Vegetarian,27,"MUSHROOM RAMYUN : Seasonal Mushrooms, Parmesan Foam, Lime, Chervil, Garlic Chips, Pickled Garlic",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
LOBSTER MYUN,"Lobster, “Sauce Américaine”, Calabrian Chili, Soy Milk, Lobster Emulsion",Not Vegetarian,36,"LOBSTER MYUN : Lobster, “Sauce Américaine”, Calabrian Chili, Soy Milk, Lobster Emulsion",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
LAMB JA JANG MYUN,"Elysian Field Lamb Ragu, Black Bean Sauce, Szechuan, Pickled Onion, Herbs, Cucumber",Not Vegetarian,27,"LAMB JA JANG MYUN : Elysian Field Lamb Ragu, Black Bean Sauce, Szechuan, Pickled Onion, Herbs, Cucumber",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
DONKATSU,"Berkshire Pork, Tomato Mustard Reduction, Seared Maitake, Cole Slaw",Not Vegetarian,38,"DONKATSU : Berkshire Pork, Tomato Mustard Reduction, Seared Maitake, Cole Slaw",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
GRILLED OCEAN TROUT,"Spicy Cod Roe “Gribiche”, Trout Roe, Jalapeño",Not Vegetarian,34,"GRILLED OCEAN TROUT : Spicy Cod Roe “Gribiche”, Trout Roe, Jalapeño",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
AMERICAN WAGYU RIBEYE,"Chimichurri, Romesco, Ssam, Pickles",Not Vegetarian,6/oz,"AMERICAN WAGYU RIBEYE : Chimichurri, Romesco, Ssam, Pickles",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
ELYSIAN FARM RACK OF LAMB,"Pan Fried Fingerling Potatoes, Truffle Vinaigrette Salad, Pickled Jalapeño, Sesame Dipping Sauce",Not Vegetarian,150,"ELYSIAN FARM RACK OF LAMB : Pan Fried Fingerling Potatoes, Truffle Vinaigrette Salad, Pickled Jalapeño, Sesame Dipping Sauce",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
MARINARA,"San Marzano Tomatoes, Amalfi Wild Oregano, Garlic, Basil, Sicilian Sea Salt, EVOO",Vegetarian,,"MARINARA : San Marzano Tomatoes, Amalfi Wild Oregano, Garlic, Basil, Sicilian Sea Salt, EVOO",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
MARGHERITA,"San Marzano Tomatoes, Buffalo Mozzarella DOP, Basil, Sicilian Sea Salt, EVOO",Vegetarian,,"MARGHERITA : San Marzano Tomatoes, Buffalo Mozzarella DOP, Basil, Sicilian Sea Salt, EVOO",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
BIANCA,"Buffalo Mozzarella DOP, Garlic, Basil, Sicilian Sea Salt, EVOO",Vegetarian,,"BIANCA : Buffalo Mozzarella DOP, Garlic, Basil, Sicilian Sea Salt, EVOO",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
FILETTI,"Cherry Tomatoes, Buffalo Mozzarella DOP, Garlic, Basil, Sicilian Sea Salt, EVOO",Vegetarian,,"FILETTI : Cherry Tomatoes, Buffalo Mozzarella DOP, Garlic, Basil, Sicilian Sea Salt, EVOO",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
COSACCA,"San Marzano Tomatoes, Pecorino Romano, Basil, Sicilian Sea Salt, EVOO",Vegetarian,,"COSACCA : San Marzano Tomatoes, Pecorino Romano, Basil, Sicilian Sea Salt, EVOO",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
SPECIAL PIZZA,Rotates Weekly,Vegetarian,,SPECIAL PIZZA : Rotates Weekly,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Vermicelli Delight,Korean Sweet Potato Noodles With Assorted Vegetables Marinated With Soy Sauce,Vegetarian,16,Vermicelli Delight : Korean Sweet Potato Noodles With Assorted Vegetables Marinated With Soy Sauce,not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
Spicy Korean Cauliflower Bites,With Vegan Mayonnaise Dip,Vegetarian,16,Spicy Korean Cauliflower Bites : With Vegan Mayonnaise Dip,not vegetarian,vegetarian,vegetarian,vegetarian,vegetarian
Spicy Sesame Leaf Tofu Patties,Minced Oyster Mushrooms And Tofu Wrapped In Sesame Leaves,Vegetarian,18,Spicy Sesame Leaf Tofu Patties : Minced Oyster Mushrooms And Tofu Wrapped In Sesame Leaves,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Stuffed Shiitake Mushrooms,no description,Vegetarian,18,Stuffed Shiitake Mushrooms : no description,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Korean Pancakes Platter,"Leek, Kimchi Mushroom & Mung Bean Pancakes With Bean Sprouts And Kabocha Pumpkin",Vegetarian,20,"Korean Pancakes Platter : Leek, Kimchi Mushroom & Mung Bean Pancakes With Bean Sprouts And Kabocha Pumpkin",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Organic Wheat Free Kale Pancakes,Made With Sweet Rice Flour,Vegetarian,19,Organic Wheat Free Kale Pancakes : Made With Sweet Rice Flour,not vegetarian,vegetarian,vegetarian,vegetarian,vegetarian
Plant Based Korean ‘Bulgogi’ Bossam Bites,Plant Based ‘Bulgogi’with Pickled Radish And Mushrooms In Spicy Korean Blackraspberry Sauce,Vegetarian,18,Plant Based Korean ‘Bulgogi’ Bossam Bites : Plant Based ‘Bulgogi’with Pickled Radish And Mushrooms In Spicy Korean Blackraspberry Sauce,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Korean Kochi Skewers,"Skewers Featuring Mushroom Head, Asparagus, Scallion And Sweet Chilli",Vegetarian,18,"Korean Kochi Skewers : Skewers Featuring Mushroom Head, Asparagus, Scallion And Sweet Chilli",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Fritters Galore,"Crispy Batter Fried Todok, Sweet Potato, Kabocha Pumpkin, Taro, Broccoli, Beet & Onion",Vegetarian,21,"Fritters Galore : Crispy Batter Fried Todok, Sweet Potato, Kabocha Pumpkin, Taro, Broccoli, Beet & Onion",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Maitake Mushroom Fritters,Organic Maitake Mushrooms Deep Fried In Crispy Batter,Vegetarian,23,Maitake Mushroom Fritters : Organic Maitake Mushrooms Deep Fried In Crispy Batter,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Combination Rolls,"Buckwheat Noodle Rolls, Seaweed Rolls, Mushroom Rolls And Kimchi Vermicelli Rolls",Vegetarian,21,"Combination Rolls : Buckwheat Noodle Rolls, Seaweed Rolls, Mushroom Rolls And Kimchi Vermicelli Rolls",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
HanGawi Stone Bowl Rice,Assortment Of Vegetables With Hot Chili Paste On The Side,Vegetarian,26,HanGawi Stone Bowl Rice : Assortment Of Vegetables With Hot Chili Paste On The Side,vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
Spicy Kimchi Stone Bowl Rice,Spicy Preserved Korean Cabbage With Vegetables And Mushrooms,Vegetarian,26,Spicy Kimchi Stone Bowl Rice : Spicy Preserved Korean Cabbage With Vegetables And Mushrooms,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Avocado Stone Bowl Rice,"Avocado With Vegetables, Mushrooms And Mountain Greens With Miso Sauce On The Side",Vegetarian,26,"Avocado Stone Bowl Rice : Avocado With Vegetables, Mushrooms And Mountain Greens With Miso Sauce On The Side",vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
Zen Stone Bowl Rice,"Wild Mountain Greens With Vegetables, And Mushrooms, Served With Organic Brown Rice",Vegetarian,29,"Zen Stone Bowl Rice : Wild Mountain Greens With Vegetables, And Mushrooms, Served With Organic Brown Rice",vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Plant Based Korean ‘Bulgogi’ Stone Bowl Rice,"Plant Based ‘Bulgogi’ With Sesame Leaves, Vegetables And Mushrooms",Vegetarian,29,"Plant Based Korean ‘Bulgogi’ Stone Bowl Rice : Plant Based ‘Bulgogi’ With Sesame Leaves, Vegetables And Mushrooms",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Tofu Stone Bowl Rice With Sesame Leaves,"Tofu Crumbles, Sesame Leaves, Mushrooms And Vegetables With Hot Chili Paste On The Side",Vegetarian,29,"Tofu Stone Bowl Rice With Sesame Leaves : Tofu Crumbles, Sesame Leaves, Mushrooms And Vegetables With Hot Chili Paste On The Side",vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
Mushroom Stone Bowl Rice With Black Truffle Paste,"Variety Of Mushrooms, Gingko Nuts, Chestnut, Black Truffle Paste In Spicy Truffle Sauce",Vegetarian,35,"Mushroom Stone Bowl Rice With Black Truffle Paste : Variety Of Mushrooms, Gingko Nuts, Chestnut, Black Truffle Paste In Spicy Truffle Sauce",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Vegetable Dumplings,"Stuffed With Vegetables, Mushrooms, Tofu And Vermicelli. Served Steamed Or Fried",Vegetarian,15,"Vegetable Dumplings : Stuffed With Vegetables, Mushrooms, Tofu And Vermicelli. Served Steamed Or Fried",vegetarian,vegetarian,vegetarian,vegetarian,vegetarian
Spicy Baby Dumplings,"Stuffed With Vegetables, Mushrooms, Tofu And Vermicelli. With Special Spicy Sauce",Vegetarian,15,"Spicy Baby Dumplings : Stuffed With Vegetables, Mushrooms, Tofu And Vermicelli. With Special Spicy Sauce",vegetarian,vegetarian,vegetarian,vegetarian,vegetarian
Kale Dumplings In Tofu Skin Wrap,"Kale, Tofu, Edamame Beans And Vegetables Wrapped In Tofu Skin",Vegetarian,17,"Kale Dumplings In Tofu Skin Wrap : Kale, Tofu, Edamame Beans And Vegetables Wrapped In Tofu Skin",vegetarian,vegetarian,vegetarian,vegetarian,vegetarian
Black Truffle Dumplings,"Stuffed With Variety Of Mushrooms, Tofu And Black Truffle Paste With Truffle Oil Sauce",Vegetarian,20,"Black Truffle Dumplings : Stuffed With Variety Of Mushrooms, Tofu And Black Truffle Paste With Truffle Oil Sauce",not vegetarian,vegetarian,vegetarian,vegetarian,vegetarian
Spicy Kale And Broccoli Kimchi Salad,With Red Beets And Tofu,Vegetarian,16,Spicy Kale And Broccoli Kimchi Salad : With Red Beets And Tofu,not vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
Acorn Noodles Salad,"Acorn Noodles, Mix Greens And Avocado Fritter",Vegetarian,17,"Acorn Noodles Salad : Acorn Noodles, Mix Greens And Avocado Fritter",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Organic Dandelion And Avocado Salad,With Taro Fritters And Ginger Mustard Dressing,Vegetarian,17,Organic Dandelion And Avocado Salad : With Taro Fritters And Ginger Mustard Dressing,not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
Todok Salad,"Fresh Todok (Korean Root Vegetable) With Watercress, Cabbage And Carrots In Bean Paste Lemon Dressing",Vegetarian,20,"Todok Salad : Fresh Todok (Korean Root Vegetable) With Watercress, Cabbage And Carrots In Bean Paste Lemon Dressing",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
HOUSE SALAMI & CHEESE,"Savory Pizzelles, Crescenza Cheese, Sicilian Honey",Not Vegetarian,15,"HOUSE SALAMI & CHEESE : Savory Pizzelles, Crescenza Cheese, Sicilian Honey",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
SCALLOP CRUDO,"Pink Apples, Italian Basil, Smoked Pine Nut Brodo",Not Vegetarian,21,"SCALLOP CRUDO : Pink Apples, Italian Basil, Smoked Pine Nut Brodo",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
TONNATO VITELLO,"Spicy Veal Tartare, Tuna Carpaccio",Not Vegetarian,20,"TONNATO VITELLO : Spicy Veal Tartare, Tuna Carpaccio",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
CHRYSANTHEMUM SALAD,"Garlic, Sesame, Parmesan",Vegetarian,21,"CHRYSANTHEMUM SALAD : Garlic, Sesame, Parmesan",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
SPICY CANTALOUPE & COPPA,"Spiced Almonds, Sheep's Cheese, Thai Basil",Not Vegetarian,19,"SPICY CANTALOUPE & COPPA : Spiced Almonds, Sheep's Cheese, Thai Basil",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
BBQ CALAMARI,"Pepperoni Fried Rice, Herbed Labneh",Not Vegetarian,19,"BBQ CALAMARI : Pepperoni Fried Rice, Herbed Labneh",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
